rank,feature,mean_abs_shap
308,T-_Amp_III,0.0004906972706274851
309,P_DurFull_III,0.0004903460767593817
310,P_PeakTime_aVL,0.0004901917471091308
311,R_Dur_V4,0.000490065392439943
312,S_Dur_V5,0.0004889328627706264
313,QRS_AmpPP_III,0.00048781951555719753
314,T_Off_V1,0.00048754218968509715
315,Max_S_Amp_aVR,0.0004852882576448765
316,T_PeakTime_aVL,0.0004838204917350089
317,ST_AmpMax_V6,0.00048327770258727043
318,QT_IntFridericia_Global,0.00048208954684969356
319,T_Area_II,0.00048129398158398617
320,P-_Dur_V1,0.0004807597738930361
321,QRS_Area_V4,0.0004797338900755742
322,T_Off_III,0.000479233837388892
323,T_Off_V5,0.0004792293902057017
324,P_AreaFull_V1,0.00047772266178180473
325,Q_Dur_aVF,0.00047642803124803756
326,T_PeakTime_V3,0.00047602132567164886
327,ST_Amp_III,0.0004754702941728479
328,Max_R_Amp_II,0.00047541909820131533
329,ST_Amp_aVL,0.00047405219621736075
330,ST_AmpMax_V5,0.0004721457384046031
331,T_Off_V6,0.0004709877345827839
332,Rp_PeakTime_aVR,0.00046712978692694114
333,Max_S_Amp_II,0.00046602770824828444
334,S_PeakTime_V4,0.0004658701345811717
335,R_Amp_V3,0.0004652362570332665
336,T_AreaFull_aVR,0.0004650621210685482
337,T+_Amp_V3,0.00046399284701397544
338,ST_Amp_V5,0.0004612524469600463
339,P_Dur_Global,0.00046111639920763946
340,S_Area_aVF,0.0004594150281815797
341,ST_Amp18_V6,0.00045837216421895573
342,ST_Amp_V4,0.00045792457080671994
343,S_Dur_V3,0.0004572626329871481
344,T_Amp_V1,0.0004571613248351836
345,QRS_Area_III,0.00045689232295010706
346,QRS_AmpPP_aVF,0.0004554936608341313
347,T_Area_V1,0.00045214175798558834
348,QRS_Area_V2,0.0004504174594181978
349,ST_AmpMin_aVR,0.00044985796029337185
350,Max_S_Amp_V4,0.0004495237041379241
351,S_Dur_V6,0.00044881091283353164
352,P_DurFull_V6,0.00044778102709298943
353,T_PeakTime_III,0.0004449275507500769
354,R_Dur_V1,0.00044475341530773123
355,QRS_On_Global,0.0004439449923916243
356,T_PeakTime_V6,0.0004435827442744974
357,T_Amp_aVL,0.00044254970797851753
358,T_AreaFull_II,0.00044152278570335683
359,S_Area_V2,0.0004408527602822361
360,QRS_Area_V3,0.00044059712615670345
361,S_Dur_III,0.00043866778315697444
362,S_PeakTime_V3,0.0004359589174016682
363,S_Area_III,0.0004352801001834676
364,QRS_AmpPP_V6,0.00043461620261094503
365,T_AxisFront_Global,0.0004345230466483598
366,R_Dur_V2,0.0004321752399516088
367,ST_AmpMax_aVR,0.0004307162857493555
368,T_AmpSpecial_aVR,0.0004306120497479356
369,Q_PeakTime_aVL,0.0004292094688455869
370,S_Dur_V1,0.00042857831736588524
371,S_Area_aVL,0.0004283135989551373
372,Q_Area_V5,0.00042758379128399437
373,Max_S_Amp_aVF,0.0004261085642872577
374,ST_Amp18_V1,0.0004245472719938762
375,Q_Dur_V5,0.00042180208018602875
376,Q_Amp_V6,0.00042117625903151476
377,ST_Amp116_V2,0.00042109724615613714
378,Max_S_Amp_V3,0.00041785032165633687
379,S_PeakTime_III,0.00041779713752480624
380,R_Area_V1,0.00041658774124972713
381,QRS_Balance_I,0.0004158402568655139
382,Max_R_Amp_aVR,0.00041583533339580557
383,QRS_Area_aVR,0.0004156240111302081
384,T_Dur_aVL,0.00041561324292431007
385,T_Area_V6,0.00041268856042459007
386,R_Area_III,0.0004124589943559837
387,R_PeakTime_aVL,0.0004115409463836303
388,ST_Amp116_V3,0.00041075708334555527
389,ST_Amp_aVR,0.0004104115512868508
390,T_AmpSpecial_V4,0.00041027676182991453
391,S_Amp_III,0.00041008364854820456
392,R_PeakTime_V1,0.00040921896519016064
393,Q_Area_V4,0.00040895734284344194
394,ST_Amp_aVF,0.0004072402631789818
395,Pp_Amp_III,0.0004068758211465364
396,ST_AmpMax_V3,0.0004060956758156683
397,S_Area_V3,0.00040560855866127383
398,ST_Amp_V6,0.00040483497936936877
399,T_Off_I,0.00040379714745856403
400,ST_Amp116_V4,0.0004031138704784584
401,QRS_Balance_aVL,0.00040299696501935623
402,Q_Amp_aVL,0.0004019644835721282
403,Q_Area_II,0.0003986724147197546
404,ST_Amp116_V6,0.0003979774037594662
405,QRS_AmpPP_V5,0.00039697629143976815
406,S_Area_V5,0.0003964485987574043
407,R_PeakTime_aVF,0.00039597239442057934
408,R_Area_I,0.0003957200904742158
409,R_Dur_V3,0.0003957198514850371
410,R_PeakTime_V2,0.0003948716733483181
411,ST_AmpMax_V2,0.00039473591199643845
412,S_Amp_V2,0.0003943914747430817
413,T_PeakTime_V4,0.00039416699035749766
414,P-_Amp_aVF,0.00039407453768258455
415,T_Dur_V4,0.0003938238917224864
416,QRS_Balance_V3,0.00039244505216631386
417,T_AmpSpecial_V2,0.0003913652003577271
418,P_PeakTime_aVF,0.0003906694522725211
419,R_Amp_V1,0.0003897424111210284
420,P_OnsAmp_V1,0.00038849873299249036
421,R_Amp_V6,0.0003884703689280145
422,T+_Amp_V2,0.00038797009082203247
423,R_AxisFrontal_Global,0.0003876578503367146
424,Max_S_Amp_V2,0.000387618577896573
425,T_AmpSpecial_V6,0.0003847253498281978
426,R_Area_II,0.0003845699646351426
427,P_AreaFull_aVL,0.00038434728003128814
428,Max_S_Amp_V5,0.00038419620691138885
429,R_Amp_aVL,0.00038300185126593676
430,QRS_Balance_V6,0.00038278936823630676
431,R_Area_V2,0.0003816384729255681
432,ST_Amp_V1,0.0003812308619799234
433,T_PeakTime_V2,0.00038074526477087405
434,R_Area_V3,0.0003783470858708565
435,S_Area_V4,0.0003772465272060001
436,Max_S_Amp_aVL,0.00037516873133828073
437,QRS_Balance_II,0.00037488921806778426
438,R_Area_V4,0.00037366529355466194
439,Max_R_Amp_aVL,0.00037179715963700814
440,T_AmpSpecial_V3,0.0003717440874831707
441,QRS_Balance_V1,0.0003712497234407367
442,QRS_Area_I,0.00037039723401554914
443,Q_PeakTime_V5,0.00036983314856832856
444,ST_AmpMin_V1,0.0003697565498362878
445,ST_AmpMax_aVF,0.0003695911752283113
446,ST_Amp116_V1,0.00036720823691623375
447,Max_R_Amp_V6,0.0003661642047321434
448,T-_Amp_V6,0.00036587310236481363
449,S_Amp_V3,0.0003656159671559287
450,ST_AmpMin_V6,0.00036439141638585585
451,Q_Amp_V5,0.00036405660956776483
452,T_Amp_V3,0.0003631177847178329
453,T_AmpSpecial_V1,0.000362950033030695
454,T_AreaFull_V4,0.0003618238914955557
455,P_Area_III,0.00036168936523632144
456,T_Area_V3,0.0003613740029140941
457,T_AreaFull_V1,0.0003611994382027332
458,Max_R_Amp_V3,0.0003611246539904248
459,ST_AmpMax_II,0.0003610674229030998
460,QRS_AmpPP_V2,0.00036036715709277114
461,ST_AmpMax_V1,0.0003602854283647021
462,T+_Amp_II,0.00035957053215483086
463,ST_Amp18_II,0.00035899292428842925
464,P_Amp_III,0.0003588764544469286
465,T_Amp_V4,0.0003575901543559511
466,Max_S_Amp_III,0.00035544121384815155
467,S_Dur_V4,0.0003553478271066517
468,T_Area_aVF,0.000355253175217538
469,S_PeakTime_V1,0.0003550580309301234
470,T+_Amp_I,0.0003548142417234057
471,T_Amp_III,0.00035403514849630655
472,S_Amp_aVR,0.00035367173534305994
473,S_Amp_V5,0.00035357996405551643
474,Max_R_Amp_aVF,0.00035228552826435195
475,QRS_Area_V6,0.000351616103278458
476,ST_Amp116_aVF,0.0003514662275770474
477,T_AmpSpecial_aVF,0.0003502841660105029
478,P_Amp_aVF,0.00034944638647547863
479,ST_Amp116_aVR,0.00034905134893086187
480,Q_Amp_I,0.0003474385793163649
481,QRS_AmpPP_V3,0.00034727375870253184
482,T_AreaFull_V3,0.000346942150681035
483,Max_R_Amp_V2,0.00034660703194745496
484,P_OnsAmp_aVL,0.0003464029754269045
485,T_AmpSpecial_III,0.0003460127142296256
486,T_Amp_V6,0.0003451138811945179
487,Max_S_Amp_V1,0.0003439833559794876
488,ST_Amp_V3,0.000343575020052175
489,ST_AmpMin_aVF,0.0003430639647990704
490,ST_Amp18_V2,0.00034210414516955815
491,T_AreaFull_aVF,0.00034175021924083196
492,T_AreaFull_V5,0.00034152723286409476
493,QRS_Area_V5,0.00034131070372805716
494,R_Dur_III,0.00034119095606653676
495,ST_Amp18_V4,0.0003403856345991738
496,P+_Amp_aVF,0.00034034353505620616
497,ST_Amp18_aVF,0.00034029931380272785
498,QRS_Area_V1,0.0003397670099565094
499,S_Amp_V1,0.0003391579577149786
500,S_Amp_V4,0.0003390084840278147
501,S_Dur_aVR,0.00033725209234531983
502,ST_Amp116_II,0.0003361395912528637
503,S_Area_aVR,0.00033596066851676175
504,T_Area_III,0.0003356973793313999
505,R_PeakTime_III,0.000335692527263601
506,P-_Dur_V2,0.00033518755160013506
507,R_Amp_V2,0.000334941055152463
508,T-_Amp_aVR,0.0003334086768340131
509,T_Area_V4,0.0003315540283802228
510,QRS_AmpPP_V1,0.0003300125714493035
511,R_Area_V5,0.00032974175760944934
512,T+_Amp_aVF,0.00032825984994016525
513,T_Amp_aVF,0.0003281587856608989
514,Max_R_Amp_III,0.00032614694367524003
515,ST_AmpMin_V5,0.0003255617072044867
516,P_Dur_V5,0.00032474630891005644
517,QRS_AmpPP_V4,0.0003242994807761715
518,Q_Amp_II,0.00032422577245036434
519,Max_R_Amp_V5,0.00032296514903717484
520,Max_R_Amp_V1,0.0003224215172794932
521,T_Area_V2,0.0003207124970477816
522,T_Amp_V2,0.00032068531291017826
523,QRS_Balance_aVF,0.00032005614255978785
524,QRS_Balance_V2,0.00031908418261962604
525,ST_Amp18_aVR,0.000318209404898157
526,QRS_Balance_III,0.0003173309031096476
527,R_Area_V6,0.00031592902377952094
528,QRS_Balance_V5,0.00031586114100679035
529,T_Amp_II,0.00031261206182218743
530,ST_AmpMin_II,0.0003118842322473248
531,T_AreaFull_III,0.00031166477335444544
532,ST_AmpMax_V4,0.0003113805243777082
533,T+_Amp_V6,0.0003081515501475296
534,Q_Area_I,0.00030561866894962824
535,P-_Amp_II,0.0003051515884888935
536,R_Amp_V5,0.0003047866269261965
537,ST_AmpMin_V3,0.0003030042967103788
538,S_Area_V1,0.0003024240399294402
539,R_Area_aVF,0.00030218656664406264
540,T_AmpSpecial_V5,0.0003014000988067126
541,T_AreaFull_V2,0.00030095208519964384
542,Q_PeakTime_V1,0.00029805615879214045
543,R_Amp_V4,0.0002980272601259805
544,QRS_Balance_V4,0.0002937327764130913
545,Q_Amp_aVF,0.0002936148798018565
546,T_Area_V5,0.0002928255644359228
547,QRS_Area_aVL,0.0002922141821670269
548,T+_Amp_V5,0.0002889535692819787
549,R_Amp_aVF,0.00028863516667132857
550,ST_Amp_II,0.00028837514810636116
551,R_Amp_III,0.00028753840376703326
552,Q_Area_V1,0.00028438440359401367
553,ST_Amp18_V5,0.00028406613329116465
554,ST_Amp18_V3,0.0002831613412283314
555,Q_Amp_V1,0.00027663740893827727
556,R_Area_aVL,0.0002734032721643464
557,Max_R_Amp_V4,0.0002707284990369039
558,P_DurFull_V4,0.00026530025057461314
559,Q_Dur_V1,0.00026450200482684716
560,P-_Dur_aVF,0.00026173810140966974
561,Rp_Dur_III,0.0002608956906629172
562,T_Amp_V5,0.0002597385858873382
563,Pp_Area_V2,0.00024640972281480416
564,Tp_Dur_aVL,0.0002408242276386316
565,Pp_Dur_V3,0.00023972540444993352
566,Q_Amp_V4,0.0002395417224148824
567,Q_Dur_V4,0.00022430028424232573
568,Q_PeakTime_V3,0.00022032178032037122
569,Pp_PeakTime_II,0.00022024551824900327
570,T-_Amp_aVF,0.0002144295196453382
571,Pp_PeakTime_V2,0.00021438407298328204
572,Rp_Area_III,0.00021136222394219268
573,Q_Amp_V3,0.00020136961829882858
574,Rp_Amp_III,0.0001928152453282385
575,T_Morph_V5,0.00019238664274114835
576,Rp_PeakTime_III,0.00019211527627308104
577,Pp_Dur_II,0.00018924136725678473
578,Rp_Amp_V1,0.00018775946165323565
579,Pp_Dur_aVF,0.00018052065538920229
580,Pp_PeakTime_aVF,0.0001766048704406019
581,P-_Dur_V3,0.00017378515524076176
582,P-_Amp_V3,0.00017296206773236304
583,Pp_Area_V3,0.0001645299889903521
584,Pp_Area_aVF,0.00016444512487181971
585,Rp_Area_V1,0.0001590280848543567
586,Rp_Dur_V1,0.00015892282330067263
587,Pp_Amp_V3,0.00015605991938910896
588,Rp_Dur_aVF,0.00015080473185497957
589,Q_Area_V3,0.00014697772665118067
590,Tp_Dur_III,0.0001465815142828265
591,Rp_Area_aVF,0.0001427644190617857
592,Q_Dur_V3,0.00014269480684262379
593,Rp_PeakTime_V1,0.0001418723542165163
594,Pp_Amp_V2,0.00014128972851820652
595,Tp_Area_III,0.0001370443367424589
596,P-_Amp_V2,0.0001363088516162414
597,Tp_Amp_aVL,0.00013181625364405957
598,Pp_Area_II,0.000131466271878827
599,T_Morph_V4,0.00013037936770383666
